stop_id,stop_name,campus_location,remark,lat,lng
S001,HKU Main Campus,Main/Centennial Campus,HKU Shuttle Bus; Citybus; Green Minibus; MTR (short walk),22.283314,114.138142
S002,HKU Medical Campus,Sassoon Road Campus,HKU Shuttle Bus; Citybus; Green Minibus,22.267418,114.128559
S003,Stanley Ho Sports Centre,Pok Fu Lam,HKU Shuttle Bus,22.267637,114.124665
S004,Jockey Club Student Village IV,Wong Chuk Hang,MTR; Citybus,22.245438,114.168949
S005,HKU MTR Station,Pok Fu Lam,MTR; short walk to campus,22.283489,114.136662
S006,Wong Chuk Hang MTR Station,Wong Chuk Hang,MTR,22.248,114.1681
S007,Pok Fu Lam Road HKU West Gate,Main Campus,Citybus; Green Minibus,22.28353,114.135811
S008,Pokfield Road Bus Terminus,Near Main Campus,Citybus,22.281814,114.132308
S009,Sha Wan Drive,Pok Fu Lam,Green Minibus; HKU Shuttle Bus,22.265022,114.127217
S010,6 Sassoon Road (Lee Hysan Hall),Sassoon Road Campus,HKU Shuttle Bus,22.26964,114.129489
S011,University Street HKU Stop,Main/Centennial Campus,Walking connection,22.283,114.1377
S012,Central MTR Station,Central,MTR (transfer),22.28214,114.15872
S013,Admiralty MTR Station,Admiralty,MTR (transfer),22.27869,114.16445
S014,Kennedy Town MTR Station,Kennedy Town,MTR; Green Minibus; Citybus,22.28138,114.12891
S015,Aberdeen Bus Terminus,Aberdeen,Citybus; Green Minibus,22.24793,114.15541
S016,St. John's College,Pok Fu Lam,Green Minibus; Citybus; HKU Shuttle Bus,22.28109,114.13212
S017,University Hall,Pok Fu Lam,HKU Shuttle Bus,22.26365,114.13528
S018,Morrison Hall,Jockey Club Student Village II,HKU Shuttle Bus,22.28079,114.13069
S019,Lady Ho Tung Hall,Jockey Club Student Village I,HKU Shuttle Bus,22.28464,114.13326
S020,Ricci Hall,Ricci Hall,HKU Shuttle Bus; Green Minibus,22.28444,114.13214
S021,Jockey Club Student Village III,Kennedy Town,MTR; Citybus; Green Minibus,22.2794,114.12875
